"","male","white","black","hispanic","mompro2","poppro2","siblings","norest96","norcen96","south96","west96","height81","height85","esteem80","athlets","wage96","hgc96","daded79","momed79","age","clubnum"
"8336",0,0,0,1,0,1,2,0,0,0,1,65,65,27,1,NA,14,10,16,NA,0
"8337",0,0,0,1,0,1,2,0,0,0,1,69,69,22,1,2.2993311882019,12,10,14,33,1
"8338",0,1,0,0,0,0,3,NA,NA,NA,NA,66,67,22,1,NA,NA,12,12,NA,0
"8339",1,0,0,1,0,1,2,0,0,0,1,70,70,22,1,4.97335720062256,12,12,9,33,2
"8340",0,0,0,1,0,0,3,0,0,0,1,62,62,22,0,10.5769233703613,12,6,2,38,0
"8341",1,0,0,1,0,1,2,0,0,0,1,69,69,28,1,14.1700401306152,13,NA,12,35,0
"8342",1,0,0,1,0,0,2,0,0,0,1,69,67,26,0,4.21309518814087,12,9,7,34,1
"8343",0,0,0,1,0,0,2,0,0,0,1,64,63,23,0,NA,13,NA,7,32,0
"8344",1,0,1,0,0,0,6,0,0,0,1,72,72,25,0,NA,12,7,5,39,0
"8345",0,0,0,1,1,1,2,0,0,0,1,61,61,21,0,NA,12,10,16,33,0
"8346",0,0,0,1,1,0,2,0,0,0,1,62,62,16,0,15.384614944458,20,12,16,31,0
"8347",1,0,0,1,0,0,5,0,0,0,1,67,68,19,0,NA,13,NA,4,38,0
"8348",1,0,0,1,0,0,5,0,0,0,1,69,70,21,1,7.11538457870483,12,NA,NA,32,0
"8349",0,0,0,1,0,0,4,0,0,0,1,60,60,21,1,NA,12,9,8,NA,1
"8350",0,0,0,1,0,0,5,0,0,0,1,60,62,23,0,9.61538505554199,12,NA,0,NA,0
"8351",0,0,0,1,0,0,7,0,0,0,1,58,58,20,0,5.76923084259033,13,10,9,NA,0
"8352",0,0,0,1,0,0,7,0,0,0,1,64,65,21,0,NA,14,10,9,33,0
"8353",0,0,0,1,0,0,4,0,0,0,1,63,62,21,0,NA,7,0,12,35,0
"8354",0,0,1,0,0,0,6,0,0,0,1,62,62,28,0,15.1315793991089,12,3,6,39,0
"8355",1,0,0,1,0,0,9,0,0,0,1,67,66,21,1,5.24475526809692,11,9,6,NA,0
"8356",1,0,0,1,0,0,8,0,0,0,1,69,71,21,0,5.55555534362793,12,6,4,34,0
"8357",0,0,0,1,0,0,8,0,0,0,1,62,62,21,0,4.94505500793457,12,6,4,31,0
"8358",1,0,0,1,0,0,10,NA,NA,NA,NA,68,67,NA,0,NA,NA,NA,NA,NA,0
"8359",0,0,0,1,0,0,8,0,0,0,1,65,66,NA,0,0,8,2,3,33,0
"8360",1,0,0,1,1,0,4,0,0,0,1,74,74,21,1,4.34782600402832,12,0,2,32,0
"8361",1,0,0,1,1,0,3,0,0,0,1,65,65,28,1,25.9615383148193,14,NA,12,37,0
"8362",0,1,0,0,0,0,2,NA,NA,NA,NA,67,67,21,1,NA,NA,14,13,NA,1
"8363",0,1,0,0,0,0,0,NA,NA,NA,NA,68,67,25,1,NA,NA,12,12,NA,0
"8364",1,0,0,1,0,0,7,NA,NA,NA,NA,64,62,21,1,NA,NA,NA,8,36,0
"8365",1,1,0,0,0,0,3,NA,NA,NA,NA,70,70,28,0,NA,NA,11,12,NA,0
